ID,HCD.1,HCD.2,HCD.3,HCD.BSA.1,HCD.BSA.2,HCD.BSA.3,SD.1,SD.2,SD.3,SD.BSA.1,SD.BSA.2,SD.BSA.3
Abiotrophia defectiva,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
Acaryochloris marina,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
Acetilactobacillus jinshanensis,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetoanaerobium sticklandii,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
Acetobacter aceti,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Acetobacter ascendens,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Acetobacter ghanensis,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
Acetobacter orientalis,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Acetobacter oryzifermentans,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Acetobacter oryzoeni,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Acetobacter pasteurianus,1.0,0.0,6.0,1.0,1.0,5.0,3.0,2.0,1.0,5.0,0.0,5.0
Acetobacter persici,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
Acetobacter senegalensis,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acetobacter sp. KACC 21233,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Acetobacter tropicalis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
